2026-05-31, 10:33:12, 85000000, 87777776, 86805.53, 512, -9.00, -9.28, -7.55, -6.73, -5.20, -2.70, -1.29, -3.33, -3.82, -3.80, -1.66, 5.76, 3.82, -0.68, -3.39, -2.42, -4.14, -4.14, -0.79, 0.51, 5.79, 7.51, 3.14, -0.96, -4.63, -5.00, -4.91, -5.06, -6.16, -5.73, -1.92, -7.31, -7.31
2026-05-31, 10:33:12, 87777777, 90555553, 86805.53, 512, -7.02, -7.69, -5.95, 0.99, 1.32, -4.63, -4.86, -3.75, -3.00, -1.94, 0.31, 3.85, 12.55, 23.96, 11.44, 3.71, -1.71, -1.71, -3.05, -4.11, -4.40, -2.17, 3.00, 1.23, -2.73, -3.20, -3.87, -5.68, -6.59, -7.42, -8.00, -6.77, -6.77
2026-05-31, 10:33:12, 90555554, 93333330, 86805.53, 512, -14.18, -12.38, -8.51, -11.28, -10.05, -8.08, -7.16, -6.05, -0.58, 2.57, -1.11, -2.27, -3.75, -4.16, -7.73, -8.85, -9.58, -9.58, -8.73, -5.86, 3.83, -3.53, -6.46, -5.81, -5.47, -6.78, -8.66, -9.53, -10.49, -9.55, -11.40, -14.05, -14.05
2026-05-31, 10:33:12, 93333331, 96111107, 86805.53, 512, -0.77, -0.42, -0.98, 1.95, 14.21, 8.08, 3.30, -0.24, -1.80, -0.07, 0.57, 3.20, 1.92, 0.79, 0.76, -2.01, -1.61, -1.61, -0.79, -1.12, -0.60, 1.32, 11.37, 13.27, 3.81, 0.85, -0.45, 0.29, 3.39, 11.79, 12.95, 2.36, 2.36
2026-05-31, 10:33:12, 96111108, 98888884, 86805.53, 512, -7.11, -6.16, -1.87, -2.08, -4.10, -4.39, -0.63, 1.80, 1.47, -2.87, -1.68, 6.17, 6.16, -0.53, -2.09, -1.75, -0.79, -0.79, 0.02, 2.98, 12.08, 15.02, 4.35, 0.69, -0.54, 1.43, 0.38, -1.77, -3.95, 0.65, 2.74, -4.88, -4.88
2026-05-31, 10:33:12, 98888885, 101666661, 86805.53, 512, -2.85, -0.40, 9.38, 14.08, 1.55, -0.10, 1.28, 2.41, 2.05, 2.03, 4.96, 14.69, 16.21, 5.46, 1.20, -0.10, 0.82, 0.82, -1.90, -2.46, 1.70, 2.97, -2.59, -3.53, -2.07, 5.53, 7.65, -0.17, -3.70, -3.67, -3.27, -2.95, -2.95
2026-05-31, 10:33:12, 101666662, 104444438, 86805.53, 512, -10.10, -9.43, -3.72, 1.71, -6.15, -5.60, -0.91, 2.64, -1.18, -3.59, -2.72, 0.91, 12.83, 2.38, -1.40, -0.17, -2.75, -2.75, -3.97, -3.10, -2.14, -0.77, -2.87, -6.13, -6.68, -6.06, -5.58, -6.40, -7.65, -7.09, -5.86, -8.57, -8.57
2026-05-31, 10:33:12, 104444439, 107222215, 86805.53, 512, -2.17, -0.95, -1.48, 4.06, -0.17, 1.66, 5.10, 16.72, 15.49, 4.88, 1.61, 0.52, 2.63, 0.97, 0.40, 0.38, 0.84, 0.84, 0.12, 2.88, 3.85, 15.09, 10.99, 3.29, 0.98, 1.67, 4.32, 0.79, -1.19, -2.35, -1.98, 0.12, 0.12
2026-05-31, 10:33:12, 107222216, 109999992, 86805.53, 512, -2.22, 5.73, -4.80, -5.43, -5.58, -4.24, -1.73, 3.47, 16.87, 7.58, 0.04, -2.87, -3.24, -3.40, -3.62, -0.81, -5.22, -5.22, -4.63, 2.14, 4.47, -3.22, -3.11, -5.30, -5.27, -4.33, -1.48, 1.97, -4.55, -7.29, -6.90, -6.01, -6.01
2026-05-31, 10:33:13, 85000000, 87777776, 86805.53, 768, -10.03, -9.14, -7.30, -5.89, -4.51, -2.97, -1.35, -3.72, -4.00, -2.69, 0.03, 6.20, 1.72, -0.95, -3.12, -2.68, -3.39, -3.39, 2.32, 3.60, 7.24, 6.09, 0.14, -2.60, -4.81, -4.78, -4.58, -3.85, -4.00, -3.32, -2.35, -8.35, -8.35
2026-05-31, 10:33:13, 87777777, 90555553, 86805.53, 768, -7.33, -7.77, -6.25, 0.57, 2.58, -4.40, -4.73, -4.16, -3.21, -2.33, -0.41, 2.75, 9.06, 24.10, 11.91, 3.93, -1.72, -1.72, -2.99, -4.22, -4.49, -3.07, 3.25, 2.17, -3.97, -3.45, -4.46, -5.46, -6.40, -7.56, -8.38, -7.03, -7.03
2026-05-31, 10:33:13, 90555554, 93333330, 86805.53, 768, -14.23, -11.32, -9.26, -11.90, -10.48, -8.43, -7.55, -4.92, -0.90, 0.60, 2.51, -3.33, -5.10, -5.71, -8.84, -9.64, -9.41, -9.41, -8.36, -6.17, 4.21, -4.17, -6.25, -6.72, -4.97, -6.27, -7.80, -9.41, -10.15, -10.07, -11.37, -13.74, -13.74
2026-05-31, 10:33:13, 93333331, 96111107, 86805.53, 768, -0.87, -0.82, -0.86, 2.32, 14.20, 7.22, 3.07, -0.89, -1.70, -0.04, 0.67, 3.64, 0.93, 1.07, -0.27, -1.63, -1.74, -1.74, -0.68, -1.01, -0.34, 1.60, 11.79, 12.84, 2.57, 0.82, -0.06, 1.10, 3.41, 14.07, 11.49, 1.43, 1.43
2026-05-31, 10:33:13, 96111108, 98888884, 86805.53, 768, -6.77, -6.31, -1.04, -2.55, -3.62, -3.85, -0.11, 3.13, 0.19, -3.01, -1.23, 6.06, 5.97, -1.33, -2.16, -2.21, -0.93, -0.93, -0.77, 2.34, 11.23, 15.37, 3.78, 0.35, -0.44, 1.35, 0.68, -1.87, -3.76, 0.73, 2.26, -3.85, -3.85
2026-05-31, 10:33:13, 98888885, 101666661, 86805.53, 768, -2.56, 0.36, 10.19, 13.35, 1.28, -0.50, 0.90, 1.62, 1.53, 1.60, 3.93, 13.22, 17.24, 5.53, 1.18, -0.23, 0.43, 0.43, -0.92, -2.83, 0.50, 3.12, -1.39, -3.86, -2.45, 4.56, 8.07, -0.23, -3.50, -3.71, -3.20, -2.50, -2.50
2026-05-31, 10:33:13, 101666662, 104444438, 86805.53, 768, -9.90, -9.19, -2.54, 0.99, -6.06, -5.99, -3.25, 2.13, 0.76, -3.11, -2.01, 4.15, 12.33, 3.91, -0.18, -0.58, -1.82, -1.82, -4.21, -3.28, -1.13, -0.66, -3.89, -6.35, -5.97, -5.46, -5.42, -7.21, -8.30, -7.94, -6.30, -7.47, -7.47
2026-05-31, 10:33:13, 104444439, 107222215, 86805.53, 768, -2.19, -0.85, -1.12, 3.27, 0.03, 1.67, 6.71, 15.17, 16.41, 7.98, 2.16, 0.66, 2.50, 0.68, 0.32, 0.19, 0.15, 0.15, 0.43, 2.00, 3.90, 14.38, 12.39, 2.76, 0.42, 1.69, 3.71, 1.02, -1.67, -2.64, -2.19, -0.51, -0.51
2026-05-31, 10:33:13, 107222216, 109999992, 86805.53, 768, -2.00, 5.46, -3.18, -5.14, -4.46, -2.79, 0.32, 8.83, 16.33, 6.78, -0.04, -2.51, -2.78, -3.38, -3.36, -2.11, -4.07, -4.07, -3.30, 3.24, 3.07, -2.70, -3.95, -4.90, -4.36, -2.59, 0.87, -0.04, -4.32, -6.69, -6.50, -4.18, -4.18
2026-05-31, 10:33:14, 85000000, 87777776, 86805.53, 768, -9.14, -9.06, -7.54, -5.76, -3.44, -2.17, -1.56, -2.89, -3.19, -3.48, -0.65, 6.49, 2.89, -0.91, -2.59, -2.52, -2.82, -2.82, -3.03, -0.24, 8.12, 6.39, 1.10, -3.15, -4.09, -4.06, -3.89, -5.03, -5.02, -2.17, -2.44, -7.04, -7.04
2026-05-31, 10:33:14, 87777777, 90555553, 86805.53, 768, -7.15, -7.27, -6.33, -1.75, 4.23, -3.47, -4.20, -3.55, -2.34, -0.96, 1.18, 4.75, 13.82, 23.76, 11.49, 4.03, -1.24, -1.24, -2.38, -3.57, -3.36, -0.14, 3.66, 0.72, -4.59, -3.62, -3.95, -5.28, -5.91, -7.10, -7.40, -6.41, -6.41
2026-05-31, 10:33:14, 90555554, 93333330, 86805.53, 768, -14.11, -12.42, -8.68, -11.46, -9.84, -7.93, -6.35, -4.60, -0.50, 2.33, -1.93, -4.29, -2.81, -4.59, -7.83, -8.97, -9.82, -9.82, -9.46, -8.52, 5.11, -7.98, -7.62, -6.34, -5.03, -7.39, -8.74, -9.79, -10.01, -9.78, -11.78, -14.23, -14.23
2026-05-31, 10:33:14, 93333331, 96111107, 86805.53, 768, -1.20, -0.83, -1.07, 1.73, 14.26, 8.38, 3.40, -0.37, -1.52, -0.10, 0.67, 3.20, 0.77, 1.09, 0.55, -1.83, -2.22, -2.22, -1.20, -1.65, -0.73, 0.62, 8.92, 13.91, 2.04, 0.41, -0.82, 0.61, 3.41, 12.96, 12.52, 1.79, 1.79
2026-05-31, 10:33:14, 96111108, 98888884, 86805.53, 768, -7.10, -5.86, -1.41, -2.64, -3.32, -3.33, -0.34, 3.01, -0.03, -3.62, -1.07, 6.18, 5.99, -0.63, -1.80, -1.84, -0.64, -0.64, -0.22, 3.06, 11.33, 15.28, 4.63, 0.75, 0.25, 1.11, 0.33, -1.42, -3.49, 1.06, 2.59, -4.13, -4.13
2026-05-31, 10:33:14, 98888885, 101666661, 86805.53, 768, -3.25, 0.17, 11.90, 11.60, 0.69, -0.91, 0.25, 2.43, 1.56, 1.37, 3.72, 13.50, 17.28, 4.42, 0.41, -0.72, -0.14, -0.14, -1.38, -3.21, 0.09, 3.34, -1.17, -3.61, -0.78, 6.96, 6.23, -0.69, -4.19, -4.56, -3.20, -2.92, -2.92
2026-05-31, 10:33:14, 101666662, 104444438, 86805.53, 768, -10.51, -9.44, -2.61, 0.82, -6.28, -6.25, -3.59, 2.48, 0.40, -3.72, -2.10, 2.29, 12.97, 0.51, -1.27, -0.34, -2.33, -2.33, -4.52, -3.14, -1.05, -0.59, -3.89, -6.54, -6.40, -5.88, -5.70, -7.22, -8.50, -8.26, -5.70, -8.35, -8.35
2026-05-31, 10:33:14, 104444439, 107222215, 86805.53, 768, -2.11, -0.52, -1.62, 3.96, 0.39, 2.18, 5.24, 15.01, 16.99, 5.97, 2.01, 0.91, 2.79, 0.88, 0.40, 0.19, 0.73, 0.73, 0.28, 2.30, 4.24, 14.83, 11.07, 2.79, 0.77, 1.54, 4.38, 0.38, -1.58, -2.08, -2.54, 0.09, 0.09
2026-05-31, 10:33:14, 107222216, 109999992, 86805.53, 768, -2.30, 5.33, -4.27, -5.02, -4.17, -2.34, 0.91, 9.90, 16.51, 5.65, -0.40, -2.74, -3.03, -3.87, -4.22, -2.26, -3.30, -3.30, -2.99, 4.04, 2.36, -2.38, -4.30, -4.67, -3.99, -2.27, 1.14, -0.38, -4.37, -6.40, -6.06, -3.17, -3.17
2026-05-31, 10:33:15, 85000000, 87777776, 86805.53, 768, -9.95, -8.88, -7.15, -5.84, -4.37, -0.54, -1.96, -2.99, -3.63, -3.18, -1.87, 5.83, 4.71, -1.91, -1.84, -2.00, -2.94, -2.94, -2.64, -0.62, 7.40, 7.38, -0.76, -2.94, -3.44, -3.80, -4.13, -4.70, -5.04, -1.33, -1.71, -7.97, -7.97
2026-05-31, 10:33:15, 87777777, 90555553, 86805.53, 768, -9.31, -9.36, -7.61, 0.36, 2.21, -6.01, -6.88, -6.15, -5.30, -4.58, -3.65, -1.12, 5.22, 24.47, 2.91, -1.79, -4.75, -4.75, -5.11, -6.87, -7.00, -5.10, 3.84, 0.56, -5.47, -3.37, -4.35, -6.40, -7.57, -9.02, -10.33, -7.93, -7.93
2026-05-31, 10:33:15, 90555554, 93333330, 86805.53, 768, -14.06, -12.08, -8.31, -10.84, -9.90, -7.44, -5.84, -4.24, -0.62, 1.63, -2.41, -2.52, -3.38, -4.25, -6.13, -8.48, -8.77, -8.77, -7.55, -3.02, 3.95, -3.94, -6.34, -6.10, -5.88, -7.44, -8.78, -9.16, -10.27, -9.48, -11.59, -13.61, -13.61
2026-05-31, 10:33:15, 93333331, 96111107, 86805.53, 768, -1.02, -0.49, -0.66, 1.94, 12.73, 12.10, 3.63, 0.28, -0.60, -0.38, 0.06, 3.23, 2.35, 1.10, 0.61, -1.62, -1.67, -1.67, -1.08, -0.81, -0.47, 1.24, 8.48, 13.92, 3.20, 0.42, -0.19, -0.15, 3.15, 12.81, 12.52, 1.63, 1.63
2026-05-31, 10:33:15, 96111108, 98888884, 86805.53, 768, -6.96, -5.19, -0.94, -2.74, -4.20, -3.33, -0.59, 2.41, 0.65, -2.78, 0.10, 7.27, 4.25, -1.69, -2.61, -2.14, -0.03, -0.03, 0.15, 3.06, 11.40, 15.43, 4.41, 0.55, 0.80, 1.14, -0.36, -2.82, -3.91, -1.72, 2.52, -2.83, -2.83
2026-05-31, 10:33:15, 98888885, 101666661, 86805.53, 768, -2.67, 0.28, 11.31, 12.52, 1.05, -0.66, 0.78, 1.64, 2.00, 1.33, 4.25, 14.38, 16.69, 4.76, 0.76, -0.45, 0.11, 0.11, -1.44, -2.39, 0.89, 2.71, -0.80, -3.78, -2.08, 6.65, 6.90, -0.78, -3.94, -3.89, -3.33, -2.48, -2.48
2026-05-31, 10:33:15, 101666662, 104444438, 86805.53, 768, -10.00, -8.96, -1.63, 0.95, -5.94, -4.97, -1.32, 1.92, 0.77, -2.92, -2.07, 1.93, 13.34, 1.49, -1.15, -1.13, -1.60, -1.60, -4.24, -2.85, -2.29, -1.25, -3.10, -5.38, -6.28, -6.05, -5.37, -6.52, -7.63, -7.27, -6.63, -7.54, -7.54
2026-05-31, 10:33:15, 104444439, 107222215, 86805.53, 768, -2.53, -0.97, -1.99, 3.75, -0.71, 1.16, 4.68, 15.60, 16.72, 4.29, 1.00, 0.81, 2.42, 0.33, 0.21, -0.63, 0.27, 0.27, 0.20, 2.33, 3.76, 14.50, 12.01, 3.22, 0.83, 2.02, 4.39, -0.05, -1.80, -2.51, -2.50, -0.37, -0.37
2026-05-31, 10:33:15, 107222216, 109999992, 86805.53, 768, -3.66, 5.80, -4.05, -5.08, -4.05, -2.60, 0.68, 10.54, 16.11, 7.41, 0.38, -2.54, -2.84, -3.36, -3.24, -1.62, -4.11, -4.11, -2.54, 3.82, 2.17, -2.29, -3.56, -4.99, -4.35, -1.46, 1.03, -1.07, -3.41, -7.01, -6.29, -3.69, -3.69
2026-05-31, 10:33:16, 85000000, 87777776, 86805.53, 512, -9.59, -8.33, -6.73, -5.65, -4.53, -0.86, -0.64, -3.08, -3.09, -3.21, -1.85, 6.63, 3.38, -2.15, -1.72, -1.58, -2.69, -2.69, -2.28, -0.73, 6.50, 7.82, -0.25, -2.80, -3.13, -3.34, -3.75, -4.81, -5.21, -3.50, -0.60, -8.12, -8.12
2026-05-31, 10:33:16, 87777777, 90555553, 86805.53, 512, -9.53, -10.14, -8.62, -3.35, 4.26, -5.07, -7.14, -5.99, -5.90, -5.29, -4.53, -2.89, 2.74, 24.50, 1.81, -3.28, -4.92, -4.92, -5.83, -7.45, -6.94, -3.51, 5.10, -3.14, -6.80, -4.78, -2.89, -7.25, -7.40, -9.45, -10.04, -8.09, -8.09
2026-05-31, 10:33:16, 90555554, 93333330, 86805.53, 512, -14.43, -10.30, -10.15, -11.58, -10.03, -8.13, -8.63, -7.43, -0.58, 3.04, -0.98, -5.37, -3.43, -4.59, -8.55, -9.17, -8.99, -8.99, -7.77, -2.54, 3.88, -4.66, -6.61, -7.17, -4.61, -6.41, -8.80, -9.80, -10.13, -9.44, -11.64, -13.60, -13.60
2026-05-31, 10:33:16, 93333331, 96111107, 86805.53, 512, -1.80, -1.15, -1.25, 1.85, 13.89, 8.27, 2.75, 0.25, -1.05, -0.50, -2.42, 1.41, 4.55, 0.38, 0.96, -0.42, -2.11, -2.11, -0.94, -1.16, -0.31, 2.55, 15.14, 8.58, 1.45, 0.35, -0.35, -0.05, 2.28, 9.83, 13.66, 1.12, 1.12
2026-05-31, 10:33:16, 96111108, 98888884, 86805.53, 512, -7.02, -5.94, -1.20, -2.88, -4.10, -3.91, -0.94, 2.19, 1.07, -2.17, 0.06, 6.91, 4.62, -1.82, -2.57, -2.47, -0.96, -0.96, -0.56, 1.76, 11.57, 15.61, 3.04, -0.36, 0.52, 0.74, 0.05, -2.66, -4.26, -1.34, 2.04, -2.38, -2.38
